-179.75,71.25,-23º,-25.7º,-24.3º,-17.9º,-7.1º,-0.1º,1.8º,1.4º,-1.7º,-8.2º,-15.6º,-22.2º,-11.6,-12.85,false
-179.75,68.75,-26º,-28.7º,-26.7º,-20º,-7.8º,0.1º,3º,1.7º,-1.9º,-10.4º,-18.2º,-25.5º,-13.3,-14.475000000000001,false
-179.75,68.25,-25.9º,-27.6º,-25.9º,-19.3º,-8.6º,0º,2.9º,2º,-1.8º,-9.7º,-17.5º,-24.5º,-12.9,-14.066666666666665,false
-179.75,67.75,-24.1º,-25º,-23.5º,-17.1º,-7.7º,1.2º,4.5º,3.8º,-0.2º,-7.6º,-15.3º,-22.2º,-11,-12.016666666666666,false
-179.75,67.25,-24.8º,-24.8º,-24º,-17.4º,-9.1º,-0.4º,3.4º,3º,-1.6º,-8.4º,-16º,-22.4º,-11.7,-12.85,false
-179.75,66.75,-21º,-20.1º,-20.3º,-13º,-5.8º,2.6º,6.7º,6.8º,1.4º,-5º,-12.4º,-18.2º,-8.1,-8.866666666666669,false
-179.75,66.25,-19.2º,-17.9º,-19.1º,-11º,-4.2º,3.9º,8.2º,8.4º,2.5º,-3.5º,-11º,-16.2º,-6.5,-7.133333333333332,false
-179.75,65.75,-17.9º,-17.5º,-18º,-10.2º,-2.8º,5.2º,9.7º,9.6º,3.9º,-2.8º,-10.5º,-15.9º,-5.6,-6.0666666666666655,false
-179.75,65.25,-17.5º,-18.2º,-17.9º,-10.8º,-2.3º,5.3º,10.1º,9.5º,4.1º,-3.5º,-11.2º,-16.6º,-5.6,-6.216666666666666,false
-179.75,27,27.2º,27º,26.7º,26.1º,25.4º,24.8º,24.8º,25º,25.7º,26.2º,26.7º,20º,undefined,25.46666666666667,false
-179.75,-18.5,-26.9º,-37.9º,-42.7º,-44º,-43.8º,-47.7º,-47.9º,-46.8º,-38º,-27.1º,-18.5º,-36.7º,undefined,-38.166666666666664,false
-179.75,-23.6,-32.5º,-43.8º,-48.4º,-49.6º,-49.5º,-53º,-53.1º,-52.3º,-43.5º,-32.4º,-23.6º,-42.2º,undefined,-43.65833333333333,false
